,METRO_ID,Metropolitan areas,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,AT001,Vienna,267.27,269.9,272.56,275.26,277.99,280.75,283.54,286.38,289.24,292.15,295.09,298.07,301.08,304.14,307.23
1,AT002,Graz,179.92,181.59,183.28,185.01,186.76,188.55,190.36,192.2,194.07,195.97,197.91,199.87,201.87,203.9,205.96
2,AT003,Linz,165.29,165.94,166.6,167.27,167.94,168.62,169.31,170.0,170.7,171.41,172.12,172.84,173.57,174.31,175.05
3,AUS,Australia,2.47,2.5,2.53,2.56,2.59,2.62,2.65,2.7,2.76,2.82,2.86,2.9,2.95,3.0,3.05
4,AUS01,Sydney,332.15,335.48,338.18,340.38,342.2,344.88,348.04,353.71,360.58,367.35,372.51,376.88,382.38,388.94,395.83
5,AUS02,Melbourne,342.35,346.45,350.93,355.73,360.47,365.96,372.23,380.25,389.13,399.06,406.39,412.67,420.9,430.03,439.49
6,AUS03,Brisbane,107.48,109.67,112.4,115.31,118.09,120.85,123.58,126.86,130.31,133.95,136.53,139.07,142.04,144.8,147.3
7,AUS04,Perth,226.8,230.66,233.7,237.11,240.94,244.87,249.93,258.1,266.72,275.67,282.29,290.6,301.9,312.68,320.34
8,AUS05,Adelaide,351.6,354.42,356.57,358.82,360.76,363.48,367.15,371.77,376.5,382.01,386.87,390.26,394.74,398.68,402.78
9,AUS06,Gold Coast-Tweed Heads,210.14,215.44,223.89,233.07,240.72,247.88,255.41,264.93,273.1,281.12,286.92,291.96,298.46,304.31,309.35
10,AUT,Austria,97.04,97.27,97.79,98.24,98.76,99.47,100.11,100.46,100.78,101.11,101.33,101.62,102.03,102.56,103.23
11,BE001,Brussels,689.41,696.17,703.01,709.94,716.96,724.08,731.28,738.59,745.99,753.49,761.09,768.79,776.59,784.5,792.51
12,BE002,Antwerp,844.6,850.03,855.51,861.05,866.63,872.26,877.94,883.68,889.46,895.3,901.19,907.13,913.13,919.18,925.29
13,BE003,Ghent,530.14,533.65,537.19,540.76,544.35,547.98,551.64,555.33,559.04,562.79,566.57,570.38,574.22,578.09,582.0
14,BE005,Liege,491.13,493.32,495.52,497.73,499.97,502.21,504.47,506.75,509.04,511.35,513.67,516.01,518.37,520.74,523.12
15,BEL,Belgium,337.61,338.41,339.94,341.46,342.8,344.43,346.59,349.0,351.72,354.56,356.86,361.12,363.91,366.01,369.45
16,CAN,Canada,3.37,3.41,3.45,3.48,3.51,3.55,3.58,3.62,3.66,3.7,3.74,3.78,3.82,3.87,3.91
17,CAN01,Edmonton,47.46,48.51,49.45,50.41,51.39,52.39,53.41,54.76,56.15,57.58,59.05,60.56,61.93,63.34,64.77
18,CAN04,Calgary,78.17,80.25,82.37,84.55,86.79,89.09,91.46,93.96,96.53,99.18,101.91,104.73,107.6,110.56,113.61
19,CAN06,Winnipeg,33.89,34.2,34.4,34.61,34.82,35.03,35.24,35.67,36.11,36.55,37.01,37.47,37.81,38.16,38.52
20,CAN09,Vancouver,389.4,395.69,400.83,406.06,411.37,416.77,422.26,430.57,439.07,447.78,456.69,465.82,473.62,481.58,489.7
21,CAN16,Quebec,119.21,120.64,121.59,122.56,123.53,124.52,125.52,127.57,129.67,131.81,133.99,136.23,137.93,139.65,141.41
22,CAN20,Montreal,336.83,340.83,344.62,348.49,352.44,356.48,360.61,365.39,370.27,375.26,380.35,385.56,390.55,395.65,400.85
23,CAN21,Ottawa-Gatineau,69.57,70.61,71.37,72.15,72.94,73.74,74.55,75.96,77.4,78.87,80.37,81.9,83.13,84.39,85.66
24,CAN26,Toronto,371.86,378.17,384.73,391.57,398.69,406.12,413.88,421.41,429.16,437.13,445.34,453.79,462.86,472.27,482.02
25,CAN29,Hamilton,216.47,218.11,219.48,220.85,222.24,223.64,225.06,227.06,229.08,231.12,233.18,235.26,237.05,238.86,240.69
26,CH001,Zurich,947.78,955.06,962.44,969.94,977.54,985.26,993.1,1001.06,1009.12,1017.32,1025.64,1034.08,1042.66,1051.36,1060.2
27,CH002,Geneva,440.13,445.32,450.74,456.37,462.19,468.22,474.43,480.84,487.41,494.18,501.13,508.25,515.57,523.07,530.77
28,CH003,Basel,514.33,516.38,518.45,520.54,522.67,524.82,527.01,529.22,531.46,533.73,536.03,538.36,540.72,543.12,545.54
29,CHE,Switzerland,179.13,180.12,181.41,182.87,184.12,185.4,186.5,187.74,189.86,192.57,194.67,196.77,198.89,201.0,203.51
30,CHL,Chile,20.8,21.04,21.27,21.51,21.74,21.98,22.2,22.42,22.65,22.87,23.09,23.3,23.51,23.72,24.07
31,CL010,Valparaíso,631.82,640.13,648.57,657.14,665.84,674.67,683.63,692.74,701.98,711.36,720.88,730.55,740.37,750.34,760.47
32,CL011,Santiago,1279.8,1290.26,1301.1,1312.33,1323.96,1336.01,1348.49,1361.41,1374.78,1388.63,1402.98,1417.83,1433.21,1449.13,1465.62
33,CL020,Concepción,444.94,447.42,450.0,452.68,455.46,458.34,461.32,464.42,467.63,470.96,474.41,477.98,481.69,485.54,489.53
