METRO_ID,Metropolitan areas,Year,GREEN_AREA_PC
AT001,Vienna,2000,255.17
AT001,Vienna,2001,252.68
AT001,Vienna,2002,250.22
AT001,Vienna,2003,247.77
AT001,Vienna,2004,245.34
AT001,Vienna,2005,242.92
AT001,Vienna,2006,240.53
AT001,Vienna,2007,238.15
AT001,Vienna,2008,235.79
AT001,Vienna,2009,233.44
AT001,Vienna,2010,231.12
AT001,Vienna,2011,228.81
AT001,Vienna,2012,226.52
AT001,Vienna,2013,224.24
AT001,Vienna,2014,221.99
AT002,Graz,2000,997.39
AT002,Graz,2001,988.23
AT002,Graz,2002,979.1
AT002,Graz,2003,969.96
AT002,Graz,2004,960.85
AT002,Graz,2005,951.75
AT002,Graz,2006,942.72
AT002,Graz,2007,933.67
AT002,Graz,2008,924.67
AT002,Graz,2009,915.69
AT002,Graz,2010,906.73
AT002,Graz,2011,897.83
AT002,Graz,2012,888.95
AT002,Graz,2013,880.11
AT002,Graz,2014,871.29
AT003,Linz,2000,1791.92
AT003,Linz,2001,1784.87
AT003,Linz,2002,1777.8
AT003,Linz,2003,1770.71
AT003,Linz,2004,1763.59
AT003,Linz,2005,1756.49
AT003,Linz,2006,1749.38
AT003,Linz,2007,1742.23
AT003,Linz,2008,1735.1
AT003,Linz,2009,1727.91
AT003,Linz,2010,1720.77
AT003,Linz,2011,1713.59
AT003,Linz,2012,1706.4
AT003,Linz,2013,1699.2
AT003,Linz,2014,1691.99
AUS,Australia,2000,
AUS,Australia,2001,
AUS,Australia,2002,
AUS,Australia,2003,
AUS,Australia,2004,
AUS,Australia,2005,
AUS,Australia,2006,
AUS,Australia,2007,
AUS,Australia,2008,
AUS,Australia,2009,
AUS,Australia,2010,
AUS,Australia,2011,
AUS,Australia,2012,
AUS,Australia,2013,
AUS,Australia,2014,
AUS01,Sydney,2000,55.38
AUS01,Sydney,2001,54.83
AUS01,Sydney,2002,54.4
AUS01,Sydney,2003,54.04
AUS01,Sydney,2004,53.76
AUS01,Sydney,2005,53.34
AUS01,Sydney,2006,52.86
AUS01,Sydney,2007,52.01
AUS01,Sydney,2008,51.02
AUS01,Sydney,2009,50.08
AUS01,Sydney,2010,49.38
AUS01,Sydney,2011,48.81
AUS01,Sydney,2012,48.11
AUS01,Sydney,2013,47.3
AUS01,Sydney,2014,46.47
AUS02,Melbourne,2000,44.0
AUS02,Melbourne,2001,43.48
AUS02,Melbourne,2002,42.92
AUS02,Melbourne,2003,42.35
AUS02,Melbourne,2004,41.79
AUS02,Melbourne,2005,41.16
AUS02,Melbourne,2006,40.47
AUS02,Melbourne,2007,39.61
AUS02,Melbourne,2008,38.71
AUS02,Melbourne,2009,37.75
AUS02,Melbourne,2010,37.07
AUS02,Melbourne,2011,36.5
AUS02,Melbourne,2012,35.79
AUS02,Melbourne,2013,35.03
AUS02,Melbourne,2014,34.27
AUS03,Brisbane,2000,697.75
AUS03,Brisbane,2001,683.82
AUS03,Brisbane,2002,667.2
AUS03,Brisbane,2003,650.37
AUS03,Brisbane,2004,635.09
AUS03,Brisbane,2005,620.55
AUS03,Brisbane,2006,606.88
AUS03,Brisbane,2007,591.19
AUS03,Brisbane,2008,575.53
AUS03,Brisbane,2009,559.87
AUS03,Brisbane,2010,549.28
AUS03,Brisbane,2011,539.28
AUS03,Brisbane,2012,528.0
AUS03,Brisbane,2013,517.91
AUS03,Brisbane,2014,509.14
AUS04,Perth,2000,54.6
AUS04,Perth,2001,53.69
AUS04,Perth,2002,52.99
AUS04,Perth,2003,52.23
AUS04,Perth,2004,51.4
AUS04,Perth,2005,50.58
AUS04,Perth,2006,49.55
AUS04,Perth,2007,47.98
AUS04,Perth,2008,46.43
AUS04,Perth,2009,44.93
AUS04,Perth,2010,43.87
AUS04,Perth,2011,42.62
AUS04,Perth,2012,41.02
AUS04,Perth,2013,39.61
AUS04,Perth,2014,38.66
AUS05,Adelaide,2000,32.61
AUS05,Adelaide,2001,32.35
AUS05,Adelaide,2002,32.16
AUS05,Adelaide,2003,31.96
AUS05,Adelaide,2004,31.78
AUS05,Adelaide,2005,31.55
AUS05,Adelaide,2006,31.23
AUS05,Adelaide,2007,30.84
AUS05,Adelaide,2008,30.45
AUS05,Adelaide,2009,30.02
AUS05,Adelaide,2010,29.64
AUS05,Adelaide,2011,29.38
AUS05,Adelaide,2012,29.05
AUS05,Adelaide,2013,28.76
AUS05,Adelaide,2014,28.47
AUS06,Gold Coast-Tweed Heads,2000,285.41
AUS06,Gold Coast-Tweed Heads,2001,278.39
AUS06,Gold Coast-Tweed Heads,2002,267.88
AUS06,Gold Coast-Tweed Heads,2003,257.32
AUS06,Gold Coast-Tweed Heads,2004,249.15
AUS06,Gold Coast-Tweed Heads,2005,241.95
AUS06,Gold Coast-Tweed Heads,2006,234.82
AUS06,Gold Coast-Tweed Heads,2007,226.38
AUS06,Gold Coast-Tweed Heads,2008,219.61
AUS06,Gold Coast-Tweed Heads,2009,213.34
AUS06,Gold Coast-Tweed Heads,2010,209.03
AUS06,Gold Coast-Tweed Heads,2011,205.42
AUS06,Gold Coast-Tweed Heads,2012,200.95
AUS06,Gold Coast-Tweed Heads,2013,197.09
AUS06,Gold Coast-Tweed Heads,2014,193.87
AUT,Austria,2000,
AUT,Austria,2001,
AUT,Austria,2002,
AUT,Austria,2003,
AUT,Austria,2004,
AUT,Austria,2005,
AUT,Austria,2006,
AUT,Austria,2007,
AUT,Austria,2008,
AUT,Austria,2009,
AUT,Austria,2010,
AUT,Austria,2011,
AUT,Austria,2012,
AUT,Austria,2013,
AUT,Austria,2014,
BE001,Brussels,2000,327.98
BE001,Brussels,2001,324.8
BE001,Brussels,2002,321.64
BE001,Brussels,2003,318.5
BE001,Brussels,2004,315.38
BE001,Brussels,2005,312.28
BE001,Brussels,2006,309.2
BE001,Brussels,2007,306.15
BE001,Brussels,2008,303.11
BE001,Brussels,2009,300.09
BE001,Brussels,2010,297.1
BE001,Brussels,2011,294.12
BE001,Brussels,2012,291.17
BE001,Brussels,2013,288.23
BE001,Brussels,2014,285.32
BE002,Antwerp,2000,335.61
BE002,Antwerp,2001,333.46
BE002,Antwerp,2002,331.33
BE002,Antwerp,2003,329.2
BE002,Antwerp,2004,327.08
BE002,Antwerp,2005,324.97
BE002,Antwerp,2006,322.86
BE002,Antwerp,2007,320.77
BE002,Antwerp,2008,318.68
BE002,Antwerp,2009,316.61
BE002,Antwerp,2010,314.53
BE002,Antwerp,2011,312.47
BE002,Antwerp,2012,310.42
BE002,Antwerp,2013,308.38
BE002,Antwerp,2014,306.34
BE003,Ghent,2000,795.6
BE003,Ghent,2001,790.37
BE003,Ghent,2002,785.17
BE003,Ghent,2003,779.98
BE003,Ghent,2004,774.83
BE003,Ghent,2005,769.7
BE003,Ghent,2006,764.59
BE003,Ghent,2007,759.52
BE003,Ghent,2008,754.47
BE003,Ghent,2009,749.45
BE003,Ghent,2010,744.44
BE003,Ghent,2011,739.47
BE003,Ghent,2012,734.53
BE003,Ghent,2013,729.61
BE003,Ghent,2014,724.71
BE005,Liege,2000,514.58
BE005,Liege,2001,512.3
BE005,Liege,2002,510.03
BE005,Liege,2003,507.76
BE005,Liege,2004,505.49
BE005,Liege,2005,503.23
BE005,Liege,2006,500.98
BE005,Liege,2007,498.72
BE005,Liege,2008,496.48
BE005,Liege,2009,494.24
BE005,Liege,2010,492.0
BE005,Liege,2011,489.77
BE005,Liege,2012,487.55
BE005,Liege,2013,485.33
BE005,Liege,2014,483.11
BEL,Belgium,2000,
BEL,Belgium,2001,
BEL,Belgium,2002,
BEL,Belgium,2003,
BEL,Belgium,2004,
BEL,Belgium,2005,
BEL,Belgium,2006,
BEL,Belgium,2007,
BEL,Belgium,2008,
BEL,Belgium,2009,
BEL,Belgium,2010,
BEL,Belgium,2011,
BEL,Belgium,2012,
BEL,Belgium,2013,
BEL,Belgium,2014,
CAN,Canada,2000,
CAN,Canada,2001,
CAN,Canada,2002,
CAN,Canada,2003,
CAN,Canada,2004,
CAN,Canada,2005,
CAN,Canada,2006,
CAN,Canada,2007,
CAN,Canada,2008,
CAN,Canada,2009,
CAN,Canada,2010,
CAN,Canada,2011,
CAN,Canada,2012,
CAN,Canada,2013,
CAN,Canada,2014,
CAN01,Edmonton,2000,6660.62
CAN01,Edmonton,2001,6515.75
CAN01,Edmonton,2002,6391.95
CAN01,Edmonton,2003,6270.37
CAN01,Edmonton,2004,6150.94
CAN01,Edmonton,2005,6033.67
CAN01,Edmonton,2006,5918.52
CAN01,Edmonton,2007,5772.26
CAN01,Edmonton,2008,5629.3
CAN01,Edmonton,2009,5489.56
CAN01,Edmonton,2010,5352.97
CAN01,Edmonton,2011,5219.49
