METRO_ID,Metropolitan areas,Year,GREEN_AREA_PC,POP_DENS
ES001,Madrid,2000,31.5,471.88
ES001,Madrid,2001,31.0,479.6
ES001,Madrid,2002,30.49,487.6
ES001,Madrid,2003,29.98,495.89
ES001,Madrid,2004,29.47,504.5
ES001,Madrid,2005,28.95,513.44
ES001,Madrid,2006,28.44,522.73
ES001,Madrid,2007,27.92,532.41
ES001,Madrid,2008,27.4,542.49
ES001,Madrid,2009,26.88,553.02
ES001,Madrid,2010,26.36,564.02
ES001,Madrid,2011,25.83,575.54
ES001,Madrid,2012,25.3,587.6
ES001,Madrid,2013,24.76,600.26
ES001,Madrid,2014,24.23,613.57
