,METRO_ID,Metropolitan areas,VAR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,AT001,Vienna,GREEN_AREA_PC,255.17,252.68,250.22,247.77,245.34,242.92,240.53,238.15,235.79,233.44,231.12,228.81,226.52,224.24,221.99
1,AT001,Vienna,POP_DENS,267.27,269.9,272.56,275.26,277.99,280.75,283.54,286.38,289.24,292.15,295.09,298.07,301.08,304.14,307.23
2,AT002,Graz,GREEN_AREA_PC,997.39,988.23,979.1,969.96,960.85,951.75,942.72,933.67,924.67,915.69,906.73,897.83,888.95,880.11,871.29
3,AT002,Graz,POP_DENS,179.92,181.59,183.28,185.01,186.76,188.55,190.36,192.2,194.07,195.97,197.91,199.87,201.87,203.9,205.96
4,AT003,Linz,GREEN_AREA_PC,1791.92,1784.87,1777.8,1770.71,1763.59,1756.49,1749.38,1742.23,1735.1,1727.91,1720.77,1713.59,1706.4,1699.2,1691.99
5,AT003,Linz,POP_DENS,165.29,165.94,166.6,167.27,167.94,168.62,169.31,170.0,170.7,171.41,172.12,172.84,173.57,174.31,175.05
6,AUS,Australia,POP_DENS,2.47,2.5,2.53,2.56,2.59,2.62,2.65,2.7,2.76,2.82,2.86,2.9,2.95,3.0,3.05
7,AUS01,Sydney,GREEN_AREA_PC,55.38,54.83,54.4,54.04,53.76,53.34,52.86,52.01,51.02,50.08,49.38,48.81,48.11,47.3,46.47
8,AUS01,Sydney,POP_DENS,332.15,335.48,338.18,340.38,342.2,344.88,348.04,353.71,360.58,367.35,372.51,376.88,382.38,388.94,395.83
9,AUS02,Melbourne,GREEN_AREA_PC,44.0,43.48,42.92,42.35,41.79,41.16,40.47,39.61,38.71,37.75,37.07,36.5,35.79,35.03,34.27
10,AUS02,Melbourne,POP_DENS,342.35,346.45,350.93,355.73,360.47,365.96,372.23,380.25,389.13,399.06,406.39,412.67,420.9,430.03,439.49
11,AUS03,Brisbane,GREEN_AREA_PC,697.75,683.82,667.2,650.37,635.09,620.55,606.88,591.19,575.53,559.87,549.28,539.28,528.0,517.91,509.14
12,AUS03,Brisbane,POP_DENS,107.48,109.67,112.4,115.31,118.09,120.85,123.58,126.86,130.31,133.95,136.53,139.07,142.04,144.8,147.3
13,AUS04,Perth,GREEN_AREA_PC,54.6,53.69,52.99,52.23,51.4,50.58,49.55,47.98,46.43,44.93,43.87,42.62,41.02,39.61,38.66
14,AUS04,Perth,POP_DENS,226.8,230.66,233.7,237.11,240.94,244.87,249.93,258.1,266.72,275.67,282.29,290.6,301.9,312.68,320.34
15,AUS05,Adelaide,GREEN_AREA_PC,32.61,32.35,32.16,31.96,31.78,31.55,31.23,30.84,30.45,30.02,29.64,29.38,29.05,28.76,28.47
16,AUS05,Adelaide,POP_DENS,351.6,354.42,356.57,358.82,360.76,363.48,367.15,371.77,376.5,382.01,386.87,390.26,394.74,398.68,402.78
17,AUS06,Gold Coast-Tweed Heads,GREEN_AREA_PC,285.41,278.39,267.88,257.32,249.15,241.95,234.82,226.38,219.61,213.34,209.03,205.42,200.95,197.09,193.87
18,AUS06,Gold Coast-Tweed Heads,POP_DENS,210.14,215.44,223.89,233.07,240.72,247.88,255.41,264.93,273.1,281.12,286.92,291.96,298.46,304.31,309.35
19,AUT,Austria,POP_DENS,97.04,97.27,97.79,98.24,98.76,99.47,100.11,100.46,100.78,101.11,101.33,101.62,102.03,102.56,103.23
20,BE001,Brussels,GREEN_AREA_PC,327.98,324.8,321.64,318.5,315.38,312.28,309.2,306.15,303.11,300.09,297.1,294.12,291.17,288.23,285.32
21,BE001,Brussels,POP_DENS,689.41,696.17,703.01,709.94,716.96,724.08,731.28,738.59,745.99,753.49,761.09,768.79,776.59,784.5,792.51
22,BE002,Antwerp,GREEN_AREA_PC,335.61,333.46,331.33,329.2,327.08,324.97,322.86,320.77,318.68,316.61,314.53,312.47,310.42,308.38,306.34
23,BE002,Antwerp,POP_DENS,844.6,850.03,855.51,861.05,866.63,872.26,877.94,883.68,889.46,895.3,901.19,907.13,913.13,919.18,925.29
24,BE003,Ghent,GREEN_AREA_PC,795.6,790.37,785.17,779.98,774.83,769.7,764.59,759.52,754.47,749.45,744.44,739.47,734.53,729.61,724.71
25,BE003,Ghent,POP_DENS,530.14,533.65,537.19,540.76,544.35,547.98,551.64,555.33,559.04,562.79,566.57,570.38,574.22,578.09,582.0
26,BE005,Liege,GREEN_AREA_PC,514.58,512.3,510.03,507.76,505.49,503.23,500.98,498.72,496.48,494.24,492.0,489.77,487.55,485.33,483.11
27,BE005,Liege,POP_DENS,491.13,493.32,495.52,497.73,499.97,502.21,504.47,506.75,509.04,511.35,513.67,516.01,518.37,520.74,523.12
28,BEL,Belgium,POP_DENS,337.61,338.41,339.94,341.46,342.8,344.43,346.59,349.0,351.72,354.56,356.86,361.12,363.91,366.01,369.45
29,CAN,Canada,POP_DENS,3.37,3.41,3.45,3.48,3.51,3.55,3.58,3.62,3.66,3.7,3.74,3.78,3.82,3.87,3.91
30,CAN01,Edmonton,GREEN_AREA_PC,6660.62,6515.75,6391.95,6270.37,6150.94,6033.67,5918.52,5772.26,5629.3,5489.56,5352.97,5219.49,5103.99,4990.86,4880.08
31,CAN01,Edmonton,POP_DENS,47.46,48.51,49.45,50.41,51.39,52.39,53.41,54.76,56.15,57.58,59.05,60.56,61.93,63.34,64.77
32,CAN04,Calgary,GREEN_AREA_PC,1530.55,1490.89,1452.53,1415.1,1378.56,1342.89,1308.08,1273.36,1239.44,1206.31,1173.95,1142.34,1111.87,1082.14,1053.11
33,CAN04,Calgary,POP_DENS,78.17,80.25,82.37,84.55,86.79,89.09,91.46,93.96,96.53,99.18,101.91,104.73,107.6,110.56,113.61
34,CAN06,Winnipeg,GREEN_AREA_PC,5082.78,5037.09,5007.42,4977.79,4948.21,4918.66,4889.14,4829.9,4771.18,4713.02,4655.38,4598.28,4556.14,4514.29,4472.74
35,CAN06,Winnipeg,POP_DENS,33.89,34.2,34.4,34.61,34.82,35.03,35.24,35.67,36.11,36.55,37.01,37.47,37.81,38.16,38.52
36,CAN09,Vancouver,GREEN_AREA_PC,124.0,122.03,120.46,118.91,117.38,115.86,114.35,112.14,109.97,107.83,105.73,103.66,101.95,100.26,98.6
37,CAN09,Vancouver,POP_DENS,389.4,395.69,400.83,406.06,411.37,416.77,422.26,430.57,439.07,447.78,456.69,465.82,473.62,481.58,489.7
38,CAN16,Quebec,GREEN_AREA_PC,1886.12,1863.74,1849.13,1834.58,1820.09,1805.66,1791.28,1762.47,1733.98,1705.81,1677.97,1650.44,1630.11,1609.97,1590.0
39,CAN16,Quebec,POP_DENS,119.21,120.64,121.59,122.56,123.53,124.52,125.52,127.57,129.67,131.81,133.99,136.23,137.93,139.65,141.41
40,CAN20,Montreal,GREEN_AREA_PC,847.75,837.79,828.58,819.39,810.2,801.01,791.84,781.48,771.17,760.93,750.74,740.61,731.14,721.72,712.34
41,CAN20,Montreal,POP_DENS,336.83,340.83,344.62,348.49,352.44,356.48,360.61,365.39,370.27,375.26,380.35,385.56,390.55,395.65,400.85
