METRO_ID	Metropolitan areas	Year	POP_DENS
AT001	Vienna	2000	267.27
AT001	Vienna	2001	269.9
AT001	Vienna	2002	272.56
AT001	Vienna	2003	275.26
AT001	Vienna	2004	277.99
AT001	Vienna	2005	280.75
AT001	Vienna	2006	283.54
AT001	Vienna	2007	286.38
AT001	Vienna	2008	289.24
AT001	Vienna	2009	292.15
AT001	Vienna	2010	295.09
AT001	Vienna	2011	298.07
AT001	Vienna	2012	301.08
AT001	Vienna	2013	304.14
AT001	Vienna	2014	307.23
AT002	Graz	2000	179.92
AT002	Graz	2001	181.59
AT002	Graz	2002	183.28
AT002	Graz	2003	185.01
AT002	Graz	2004	186.76
AT002	Graz	2005	188.55
AT002	Graz	2006	190.36
AT002	Graz	2007	192.2
AT002	Graz	2008	194.07
AT002	Graz	2009	195.97
AT002	Graz	2010	197.91
AT002	Graz	2011	199.87
AT002	Graz	2012	201.87
AT002	Graz	2013	203.9
AT002	Graz	2014	205.96
AT003	Linz	2000	165.29
AT003	Linz	2001	165.94
AT003	Linz	2002	166.6
AT003	Linz	2003	167.27
AT003	Linz	2004	167.94
AT003	Linz	2005	168.62
AT003	Linz	2006	169.31
AT003	Linz	2007	170.0
AT003	Linz	2008	170.7
AT003	Linz	2009	171.41
AT003	Linz	2010	172.12
AT003	Linz	2011	172.84
AT003	Linz	2012	173.57
AT003	Linz	2013	174.31
AT003	Linz	2014	175.05
AUS	Australia	2000	2.47
AUS	Australia	2001	2.5
AUS	Australia	2002	2.53
AUS	Australia	2003	2.56
AUS	Australia	2004	2.59
AUS	Australia	2005	2.62
AUS	Australia	2006	2.65
AUS	Australia	2007	2.7
AUS	Australia	2008	2.76
AUS	Australia	2009	2.82
AUS	Australia	2010	2.86
AUS	Australia	2011	2.9
AUS	Australia	2012	2.95
AUS	Australia	2013	3.0
AUS	Australia	2014	3.05
AUS01	Sydney	2000	332.15
AUS01	Sydney	2001	335.48
AUS01	Sydney	2002	338.18
AUS01	Sydney	2003	340.38
AUS01	Sydney	2004	342.2
AUS01	Sydney	2005	344.88
AUS01	Sydney	2006	348.04
AUS01	Sydney	2007	353.71
AUS01	Sydney	2008	360.58
AUS01	Sydney	2009	367.35
AUS01	Sydney	2010	372.51
AUS01	Sydney	2011	376.88
AUS01	Sydney	2012	382.38
AUS01	Sydney	2013	388.94
AUS01	Sydney	2014	395.83
AUS02	Melbourne	2000	342.35
AUS02	Melbourne	2001	346.45
AUS02	Melbourne	2002	350.93
AUS02	Melbourne	2003	355.73
AUS02	Melbourne	2004	360.47
AUS02	Melbourne	2005	365.96
AUS02	Melbourne	2006	372.23
AUS02	Melbourne	2007	380.25
AUS02	Melbourne	2008	389.13
AUS02	Melbourne	2009	399.06
AUS02	Melbourne	2010	406.39
AUS02	Melbourne	2011	412.67
AUS02	Melbourne	2012	420.9
AUS02	Melbourne	2013	430.03
AUS02	Melbourne	2014	439.49
AUS03	Brisbane	2000	107.48
AUS03	Brisbane	2001	109.67
AUS03	Brisbane	2002	112.4
AUS03	Brisbane	2003	115.31
AUS03	Brisbane	2004	118.09
AUS03	Brisbane	2005	120.85
AUS03	Brisbane	2006	123.58
AUS03	Brisbane	2007	126.86
AUS03	Brisbane	2008	130.31
AUS03	Brisbane	2009	133.95
AUS03	Brisbane	2010	136.53
AUS03	Brisbane	2011	139.07
AUS03	Brisbane	2012	142.04
AUS03	Brisbane	2013	144.8
AUS03	Brisbane	2014	147.3
AUS04	Perth	2000	226.8
AUS04	Perth	2001	230.66
AUS04	Perth	2002	233.7
AUS04	Perth	2003	237.11
AUS04	Perth	2004	240.94
AUS04	Perth	2005	244.87
AUS04	Perth	2006	249.93
AUS04	Perth	2007	258.1
AUS04	Perth	2008	266.72
AUS04	Perth	2009	275.67
AUS04	Perth	2010	282.29
AUS04	Perth	2011	290.6
AUS04	Perth	2012	301.9
AUS04	Perth	2013	312.68
AUS04	Perth	2014	320.34
AUS05	Adelaide	2000	351.6
AUS05	Adelaide	2001	354.42
AUS05	Adelaide	2002	356.57
AUS05	Adelaide	2003	358.82
AUS05	Adelaide	2004	360.76
AUS05	Adelaide	2005	363.48
AUS05	Adelaide	2006	367.15
AUS05	Adelaide	2007	371.77
AUS05	Adelaide	2008	376.5
AUS05	Adelaide	2009	382.01
AUS05	Adelaide	2010	386.87
AUS05	Adelaide	2011	390.26
AUS05	Adelaide	2012	394.74
AUS05	Adelaide	2013	398.68
AUS05	Adelaide	2014	402.78
AUS06	Gold Coast-Tweed Heads	2000	210.14
AUS06	Gold Coast-Tweed Heads	2001	215.44
AUS06	Gold Coast-Tweed Heads	2002	223.89
AUS06	Gold Coast-Tweed Heads	2003	233.07
AUS06	Gold Coast-Tweed Heads	2004	240.72
AUS06	Gold Coast-Tweed Heads	2005	247.88
AUS06	Gold Coast-Tweed Heads	2006	255.41
AUS06	Gold Coast-Tweed Heads	2007	264.93
