Company_name	Company_ID	Big3Share	Position	Revenue	Assets	Employees	MarketCap	Exchange	TypeEnt
INVESCO LTD	BM40671R	17.85	1	7500000.0	nan	7500.0	13123024.0	New York Stock Exchange (NYSE)	Bank
ROYAL CARIBBEAN CRUISES LTD	LR30002MX	14.32	3	7500000.0	nan	7500.0	16739323.0	New York Stock Exchange (NYSE)	Industrial company
GENCO SHIPPING & TRADING LTD	MH30004AQ	0.14	31	350000.0	nan	1500.0	43392.0	New York Stock Exchange (NYSE)	Industrial company
EAGLE BULK SHIPPING INC	MH40003AQ	2.8499999999999996	9	350000.0	nan	750.0	26674.0	NASDAQ National Market	Industrial company
POWERSHARES DB US DOLLAR INDEX BEARISH	US*S00100679	0	101	nan	nan	nan	44120.0	NYSE ARCA	Industrial company
POWERSHARES FTSE RAFI DEVELOPED MARKETS	US*S00101964	0	101	nan	nan	nan	703566.0	NYSE ARCA	Industrial company
XENITH BANKSHARES INC	US*S00120641	0	107	nan	nan	nan	101361.0	NASDAQ National Market	Industrial company
GAMCO NATURAL RESOURCES, GOLD & INCOME TRUST	US*S00136468	0	102	nan	nan	nan	145955.0	New York Stock Exchange (NYSE)	Industrial company
JOHN HANCOCK HEDGED EQUITY & INCOME FUND	US*S00138046	0	105	nan	nan	nan	189761.0	New York Stock Exchange (NYSE)	Industrial company
TORTOISE PIPELINE & ENERGY FUND, INC.	US*S00150042	0	106	nan	nan	nan	175287.0	New York Stock Exchange (NYSE)	Industrial company
GENWORTH FINANCIAL, INC.	US*S00164313	19.57	1	nan	nan	nan	1829385.0	New York Stock Exchange (NYSE)	Financial company
COHEN & STEERS MLP INCOME & ENERGY OPPORTUNITY FUND	US*S00166886	0	101	nan	nan	nan	265980.0	New York Stock Exchange (NYSE)	Industrial company
CHINA COMMERCIAL CREDIT INC	US*S00170040	0	105	nan	nan	nan	6431.0	NASDAQ National Market	Industrial company
FIRST TRUST NEW OPPORTUNITIES MLP & ENERGY FUND	US*S00173263	0	104	nan	nan	nan	307630.0	New York Stock Exchange (NYSE)	Industrial company
DUFF & PHELPS SELECT ENERGY MLP FUND INC.	US*S00174981	0	101	nan	nan	nan	194793.0	New York Stock Exchange (NYSE)	Industrial company
GABELLI GLOBAL SMALL & MID CAP VALUE TRUST	US*S00174992	0	102	nan	nan	nan	84411.0	New York Stock Exchange (NYSE)	Industrial company
MERIDIAN BANCORP, INC.	US*S00175982	9.25	1	nan	nan	nan	808890.0	NASDAQ National Market	Industrial company
EAGLE POINT CREDIT COMPANY INC.	US*S00176507	0	104	nan	nan	nan	227786.0	New York Stock Exchange (NYSE)	Industrial company
JMP GROUP LLC	US*S00178047	0	128	nan	nan	nan	114328.0	New York Stock Exchange (NYSE)	Industrial company
CB FINANCIAL SERVICES, INC.	US*S00181562	1.13	10	nan	nan	nan	90476.0	NASDAQ National Market	Financial company
CONIFER HOLDINGS, INC.	US*S00181643	0.39	16	93750.0	177927.0	nan	48840.0	NASDAQ National Market	Industrial company
NATIONAL WESTERN LIFE GROUP, INC.	US*S00182095	8.37	1	nan	nan	nan	730185.0	NASDAQ National Market	Industrial company
PB BANCORP, INC.	US*S00183650	0	112	nan	nan	nan	67929.0	NASDAQ National Market	Industrial company
PROTEOSTASIS THERAPEUTICS, INC.	US000980301	0	103	4312.0	18690.0	43.0	304126.0	NASDAQ National Market	Industrial company
TELIGENT, INC.	US010355758	9.750000000000002	3	44250.0	184762.0	107.0	307744.0	NASDAQ National Market	Industrial company
IMMUCELL CORP	US010382980	0.28	15	10229.0	14601.0	nan	28333.0	NASDAQ National Market	Industrial company
BAR HARBOR BANKSHARES	US010393663	7.22	1	53863.0	1580055.0	221.0	203279.0	NYSE MKT	Bank
IDEXX LABORATORIES INC	US010393723	17.099999999999998	1	1601892.0	1474993.0	6800.0	8064073.0	NASDAQ National Market	Industrial company
FIRST BANCORP, INC (THE)	US010404322	9.56	1	53162.0	1559660.0	218.0	216066.0	NASDAQ National Market	Bank
CAMDEN NATIONAL CORPORATION	US010413282	9.34	1	111443.0	3709871.0	652.0	441700.0	NASDAQ National Market	Bank
NORTHEAST BANCORP	US010425066	1.26	16	46007.0	894101.0	188.0	88017.0	NASDAQ National Market	Bank
WEX INC.	US010526993	16.080000000000002	1	854637.0	3847909.0	2265.0	3569213.0	New York Stock Exchange (NYSE)	Financial company
CONOCOPHILLIPS	US010562944	16.9	1	29456000.0	97484000.0	15900.0	54897708.0	New York Stock Exchange (NYSE)	Industrial company
ENPRO INDUSTRIES, INC.	US010573945	19.630000000000003	1	1204400.0	1498800.0	5400.0	1091435.0	New York Stock Exchange (NYSE)	Industrial company
SUNWORKS, INC.	US010592299	1.58	6	53713.0	34864.0	nan	45462.0	NASDAQ National Market	Industrial company
ASBURY AUTOMOTIVE GROUP, INC.	US010609375	19.46	1	6588300.0	2305900.0	8600.0	1242495.0	New York Stock Exchange (NYSE)	Industrial company
ENERGY RECOVERY, INC.	US010616867	4.15	7	44713.0	151799.0	114.0	554741.0	NASDAQ National Market	Industrial company
HURON CONSULTING GROUP	US010666114	14.74	1	769023.0	1159543.0	2671.0	1281747.0	NASDAQ National Market	Industrial company
