"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,158,"NLD","Netherlands",1,"Drenthe","NL.DR",NA,"","Provincie","Province","",""
2,158,"NLD","Netherlands",2,"Flevoland","NL.FL",NA,"","Provincie","Province","",""
3,158,"NLD","Netherlands",3,"Friesland","NL.FR",NA,"","Provincie","Province","","Frise|Frisia|Frísia"
4,158,"NLD","Netherlands",4,"Gelderland","NL.GE",NA,"","Provincie","Province","","Geldern|Gheldria|Guelders|Gueldre"
5,158,"NLD","Netherlands",5,"Groningen","NL.GR",NA,"","Provincie","Province","","Groninga|Groningue"
6,158,"NLD","Netherlands",6,"IJsselmeer","",NA,"","Water body","Water body","",""
7,158,"NLD","Netherlands",7,"Limburg","NL.LI",NA,"","Provincie","Province","","Limbourg|Limburgo"
8,158,"NLD","Netherlands",8,"Noord-Brabant","NL.NB",NA,"","Provincie","Province","","Brabante del Norte|Brabante do Norte|Brabante settentrionale|Brabant-septentrional|Nord-Brabant|Nort"
9,158,"NLD","Netherlands",9,"Noord-Holland","NL.NH",NA,"","Provincie","Province","","Holanda do Norte|Hollande-septentrionale|North Holland"
10,158,"NLD","Netherlands",10,"Overijssel","NL.OV",NA,"","Provincie","Province","",""
11,158,"NLD","Netherlands",11,"Utrecht","NL.UT",NA,"","Provincie","Province","",""
12,158,"NLD","Netherlands",12,"Zeeland","NL.ZE",NA,"","Provincie","Province","","Zelanda|Zélande|Zelândia"
13,158,"NLD","Netherlands",13,"Zeeuwse meren","",NA,"","Water body","Water body","",""
14,158,"NLD","Netherlands",14,"Zuid-Holland","NL.ZH",NA,"","Provincie","Province","","Hollande-méridionale|South Holland"
