"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,158,"NLD","Netherlands",1,"Drenthe",1,"Aa en Hunze","NL.DR.AH",NA,"","Gemeente","Municipality","",""
2,158,"NLD","Netherlands",1,"Drenthe",2,"Assen","NL.DR.AS",NA,"","Gemeente","Municipality","",""
3,158,"NLD","Netherlands",1,"Drenthe",3,"Borger-Odoorn","NL.DR.BO",NA,"","Gemeente","Municipality","",""
4,158,"NLD","Netherlands",1,"Drenthe",4,"Coevorden","NL.DR.CO",NA,"","Gemeente","Municipality","",""
5,158,"NLD","Netherlands",1,"Drenthe",5,"De Wolden","NL.DR.DW",NA,"","Gemeente","Municipality","",""
6,158,"NLD","Netherlands",1,"Drenthe",6,"Emmen","NL.DR.EM",NA,"","Gemeente","Municipality","",""
7,158,"NLD","Netherlands",1,"Drenthe",7,"Hoogeveen","NL.DR.HO",NA,"","Gemeente","Municipality","",""
8,158,"NLD","Netherlands",1,"Drenthe",8,"Meppel","NL.DR.ME",NA,"","Gemeente","Municipality","",""
9,158,"NLD","Netherlands",1,"Drenthe",9,"Midden-Drenthe","NL.DR.MD",NA,"","Gemeente","Municipality","","Middenveld"
10,158,"NLD","Netherlands",1,"Drenthe",10,"Noordenveld","NL.DR.NO",NA,"","Gemeente","Municipality","",""
11,158,"NLD","Netherlands",1,"Drenthe",11,"Tynaarlo","NL.DR.TY",NA,"","Gemeente","Municipality","","Zuidlaren"
12,158,"NLD","Netherlands",1,"Drenthe",12,"Westerveld","NL.DR.WE",NA,"","Gemeente","Municipality","",""
13,158,"NLD","Netherlands",2,"Flevoland",13,"Almere","NL.FL.AL",NA,"","Gemeente","Municipality","",""
14,158,"NLD","Netherlands",2,"Flevoland",14,"Dronten","NL.FL.DR",NA,"","Gemeente","Municipality","",""
15,158,"NLD","Netherlands",2,"Flevoland",15,"Lelystad","NL.FL.LE",NA,"","Gemeente","Municipality","",""
16,158,"NLD","Netherlands",2,"Flevoland",16,"Noordoostpolder","NL.FL.NO",NA,"","Gemeente","Municipality","",""
17,158,"NLD","Netherlands",2,"Flevoland",17,"Urk","NL.FL.UR",NA,"","Gemeente","Municipality","",""
18,158,"NLD","Netherlands",2,"Flevoland",18,"Zeewolde","NL.FL.ZE",NA,"","Gemeente","Municipality","",""
19,158,"NLD","Netherlands",3,"Friesland",19,"Achtkarspelen","NL.FR.AC",NA,"","Gemeente","Municipality","",""
