	Department	City	Tables	Total	Participation	Null	Yes	No
0	AMAZONAS	EL ENCANTO	2	223	30.01	2	170	51
1	AMAZONAS	LA CHORRERA	3	366	35.53	3	300	62
2	AMAZONAS	LA PEDRERA	3	216	21.42	1	189	25
3	AMAZONAS	LA VICTORIA	1	5	27.77	0	4	1
4	AMAZONAS	LETICIA	82	8990	25.98	84	4403	4463
5	AMAZONAS	MIRITI-PARANA	2	96	20.12	0	89	7
6	AMAZONAS	PUERTO ALEGRIA	1	59	22.77	1	52	5
7	AMAZONAS	PUERTO ARICA	1	119	29.38	0	97	22
8	AMAZONAS	PUERTO NARI¥O	10	1153	26.7	17	830	274
9	AMAZONAS	PUERTO SANTANDER	2	143	22.27	2	125	16
10	AMAZONAS	TARAPACA	3	344	26.38	4	265	68
11	ANTIOQUIA	ABEJORRAL	39	3647	23.87	52	1296	2105
12	ANTIOQUIA	ABRIAQUI	6	572	29.51	13	213	332
13	ANTIOQUIA	ALEJANDRIA	11	1735	37.9	22	966	696
14	ANTIOQUIA	AMAGA	53	6370	28.91	94	2084	4139
15	ANTIOQUIA	AMALFI	40	3818	22.55	72	1310	2304
16	ANTIOQUIA	ANDES	76	9093	26.09	93	3193	5729
17	ANTIOQUIA	ANGELOPOLIS	14	1589	27.98	23	553	1004
18	ANTIOQUIA	ANGOSTURA	23	1935	21.13	84	705	1089
19	ANTIOQUIA	ANORI	30	2984	26.77	40	1764	953
20	ANTIOQUIA	ANZA	14	1150	20.12	16	363	740
21	ANTIOQUIA	APARTADO	201	27961	31.34	478	14195	12936
22	ANTIOQUIA	ARBOLETES	52	5866	27.34	57	3691	1937
23	ANTIOQUIA	ARGELIA	19	2065	31.16	23	650	1351
24	ANTIOQUIA	ARMENIA	12	1026	21.18	26	301	676
25	ANTIOQUIA	BARBOSA	92	13430	34.84	277	4200	8666
26	ANTIOQUIA	BELLO	679	121850	38.26	1577	43642	76122
27	ANTIOQUIA	BELMIRA	14	1617	33.63	17	687	897
28	ANTIOQUIA	BETANIA	19	1609	19.21	22	466	1110
29	ANTIOQUIA	BETULIA	33	3023	22.59	49	1005	1919
30	ANTIOQUIA	BOLIVAR	60	5636	23.45	60	1644	3875
31	ANTIOQUIA	BRICE¥O	19	2078	33.68	45	1367	604
32	ANTIOQUIA	BURITICA	19	1406	20.58	20	474	890
33	ANTIOQUIA	CA¥ASGORDAS	33	4884	36.44	121	1911	2739
34	ANTIOQUIA	CACERES	48	4004	20.23	83	2506	1358
35	ANTIOQUIA	CAICEDO	15	1600	26.26	43	593	921
36	ANTIOQUIA	CALDAS	129	25961	42.85	397	9292	16149
37	ANTIOQUIA	CAMPAMENTO	15	1296	20.37	41	619	604
38	ANTIOQUIA	CARACOLI	14	1199	24.69	12	578	593
39	ANTIOQUIA	CARAMANTA	14	1417	27.08	26	568	790
40	ANTIOQUIA	CAREPA	98	11733	28.29	190	5327	6057
41	ANTIOQUIA	EL CARMEN DE VIBORAL	80	16750	50.65	272	5528	10787
42	ANTIOQUIA	CAROLINA	11	1150	28.17	23	464	641
43	ANTIOQUIA	CAUCASIA	162	20911	31.61	368	8801	11495
