id	relid	year	active_year	code_status	type_of_violence	conflict_dset_id	conflict_new_id	conflict_name	dyad_dset_id	dyad_new_id	dyad_name	side_a_dset_id	side_a_new_id	side_a	side_b_dset_id	side_b_new_id	side_b	number_of_sources	source_article	source_office	source_date	source_headline	source_original	where_prec	where_coordinates	where_description	adm_1	adm_2	latitude	longitude	geom_wkt	priogrid_gid	country	country_id	region	event_clarity	date_prec	date_start	date_end	deaths_a	deaths_b	deaths_civilians	deaths_unknown	best_est	high_est	low_est
83870	COL-2008-1-237-1	2008	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	1	"EFE News Service,2008-01-01,6 FARC rebels killed in fighting in Colombia"	EFE News Service	2008-01-01	6 FARC rebels killed in fighting in Colombia	the army	1	La Ventura village	Ventura town (rural section)

	Cauca department	El Tambo municipality	2.500739	-76.874753	POINT (-76.874753 2.500739)	133407	Colombia	100	Americas	1	5	01/01/2008 00:00:00	12/31/2008 00:00:00	0	3	0	0	3	3	3
115491	COL-2008-3-1604-5	2008	True	Clear	3	1604	605	FARC - Civilians	1604	1072	FARC - Civilians	1604	743	FARC	9999	1	Civilians	-1	One dead, 12 injured by FARC bomb in Colombia, 23 August 2008, EFE News Service				the police	1	San Rafael town	San Rafael town (opposite police headquarters)	Antioquia department	San Rafael municipality	6.200757	-75.591765	POINT (-75.591765 6.200757)	138449	Colombia	100	Americas	1	1	08/23/2008 00:00:00	08/23/2008 00:00:00	0	0	1	0	1	1	1
115492	COL-2005-1-342-40	2005	True	Clear	1	1-92	289	Colombia:Government	342	624	Government of Colombia - ELN	100	17	Government of Colombia	1605	744	ELN	-1	Army ANE News 1/5				Military	4	Antioquia department	Province: Antioquia
Segovia town and Remedio town	Antioquia department		7	-75.5	POINT (-75.500000 7.000000)	139890	Colombia	100	Americas	1	1	05/01/2005 00:00:00	05/01/2005 00:00:00	0	1	0	0	1	1	1
115493	COL-2005-1-342-41	2005	True	Clear	1	1-92	289	Colombia:Government	342	624	Government of Colombia - ELN	100	17	Government of Colombia	1605	744	ELN	-1	Noche y Niebla 2/5					3	Carmen de Viboral municipality	Carmen de Viboral municipality	Antioquia department	Carmen de Viboral municipality	6	-75.25	POINT (-75.250000 6.000000)	138450	Colombia	100	Americas	1	1	05/02/2005 00:00:00	05/02/2005 00:00:00	0	4	0	0	4	4	4
115508	COL-2010-3-1604-1	2010	False	Clear	3	1604	605	FARC - Civilians	1604	1072	FARC - Civilians	1604	743	FARC	9999	1	Civilians	-1	FARC rebels kill 2 in attack in southwestern Colombia, 24 February 2010, EFE News Service				officials	1	Mandiba village	Mandiba village	Cauca department	Santander de Quilichao municipality	2.944142	-76.542784	POINT (-76.542784 2.944142)	133407	Colombia	100	Americas	1	2	02/20/2010 00:00:00	02/21/2010 00:00:00	0	0	0	2	2	2	2
115509	COL-2005-1-342-43	2005	True	Clear	1	1-92	289	Colombia:Government	342	624	Government of Colombia - ELN	100	17	Government of Colombia	1605	744	ELN	-1	Noche y Niebla 9/5					3	Anorí municipality	Province: Antioquia, Municipality: Anori	Antioquia department	Anorí municipality	7.166667	-75.083333	POINT (-75.083333 7.166667)	139890	Colombia	100	Americas	1	1	05/09/2005 00:00:00	05/09/2005 00:00:00	0	1	0	0	1	1	1
115510	COL-2006-1-342-6	2006	True	Clear	1	1-92	289	Colombia:Government	342	624	Government of Colombia - ELN	100	17	Government of Colombia	1605	744	ELN	-1	Agence France Presse 060328 "Colombian army kills 11 leftist rebels				Military	5	Eastern Colombia	Eastern Colombia			5	-69.5	POINT (-69.500000 5.000000)	137022	Colombia	100	Americas	1	1	03/28/2006 00:00:00	03/28/2006 00:00:00	0	2	0	0	2	2	2
115511	COL-2005-1-237-26	2005	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Noche y Niebla 2/2					3	Milán municipality	Province: Caqueta, Municipality: Milan	Caquetá department	Milán municipality	1.211122	-75.392396	POINT (-75.392396 1.211122)	131250	Colombia	100	Americas	1	1	02/02/2005 00:00:00	02/02/2005 00:00:00	1	0	0	0	1	1	1
