Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	VAR	Dollars_th
INVESCO LTD	BM40671R	17.85	1	New York Stock Exchange (NYSE)	Bank	Revenue	7500000.0
ROYAL CARIBBEAN CRUISES LTD	LR30002MX	14.32	3	New York Stock Exchange (NYSE)	Industrial company	Revenue	7500000.0
GENCO SHIPPING & TRADING LTD	MH30004AQ	0.14	31	New York Stock Exchange (NYSE)	Industrial company	Revenue	350000.0
EAGLE BULK SHIPPING INC	MH40003AQ	2.85	9	NASDAQ National Market	Industrial company	Revenue	350000.0
POWERSHARES DB US DOLLAR INDEX BEARISH	US*S00100679	0.0	101	NYSE ARCA	Industrial company	Revenue	
POWERSHARES FTSE RAFI DEVELOPED MARKETS	US*S00101964	0.0	101	NYSE ARCA	Industrial company	Revenue	
XENITH BANKSHARES INC	US*S00120641	0.0	107	NASDAQ National Market	Industrial company	Revenue	
GAMCO NATURAL RESOURCES, GOLD & INCOME TRUST	US*S00136468	0.0	102	New York Stock Exchange (NYSE)	Industrial company	Revenue	
JOHN HANCOCK HEDGED EQUITY & INCOME FUND	US*S00138046	0.0	105	New York Stock Exchange (NYSE)	Industrial company	Revenue	
TORTOISE PIPELINE & ENERGY FUND, INC.	US*S00150042	0.0	106	New York Stock Exchange (NYSE)	Industrial company	Revenue	
GENWORTH FINANCIAL, INC.	US*S00164313	19.57	1	New York Stock Exchange (NYSE)	Financial company	Revenue	
COHEN & STEERS MLP INCOME & ENERGY OPPORTUNITY FUND	US*S00166886	0.0	101	New York Stock Exchange (NYSE)	Industrial company	Revenue	
CHINA COMMERCIAL CREDIT INC	US*S00170040	0.0	105	NASDAQ National Market	Industrial company	Revenue	
FIRST TRUST NEW OPPORTUNITIES MLP & ENERGY FUND	US*S00173263	0.0	104	New York Stock Exchange (NYSE)	Industrial company	Revenue	
DUFF & PHELPS SELECT ENERGY MLP FUND INC.	US*S00174981	0.0	101	New York Stock Exchange (NYSE)	Industrial company	Revenue	
