Company_ID	Employees
BM40671R	7500.0
LR30002MX	7500.0
MH30004AQ	1500.0
MH40003AQ	750.0
US*S00100679	
US*S00101964	
US*S00120641	
US*S00136468	
US*S00138046	
US*S00150042	
US*S00164313	
US*S00166886	
US*S00170040	
US*S00173263	
US*S00174981	
US*S00174992	
US*S00175982	
US*S00176507	
US*S00178047	
US*S00181562	
US*S00181643	
US*S00182095	
US*S00183650	
US000980301	43.0
US010355758	107.0
US010382980	
US010393663	221.0
US010393723	6800.0
US010404322	218.0
US010413282	652.0
US010425066	188.0
US010526993	2265.0
US010562944	15900.0
US010573945	5400.0
US010592299	
US010609375	8600.0
US010616867	114.0
US010666114	2671.0
US010724376	2210.0
US010789977	
US010894487	716.0
US010949984	6.0
US020377419	108.0
US020381573	500.0
US020405716	164.0
US020430695	288.0
US020433924	1500.0
US020478229	677.0
US020513618	2155.0
US020556934	25915.0
US020563302	
US020563870	48.0
US020636095	1783.0
US020642224	12864.0
US020681276	66.0
US020692322	118.0
US020732285	25.0
US020781046	15273.0
US030283552	
US030287342	307.0
US030338873	1900.0
US030366218	
US030416362	46.0
US030422069	19.0
US030450326	89000.0
US030460133	923.0
US030483872	
US030491827	118.0
US030567133	628.0
US030573898	
US041442480	111.0
US041717070	10626.0
US041866480	1804.0
US042052042	8000.0
US042103460	12000.0
US042147929	7943.0
US042207613	216000.0
US042209186	
US042240991	311.0
US042260388	10772.0
US042271897	4600.0
US042272148	4100.0
US042277512	2181.0
US042295040	
US042302115	6700.0
US042314970	722.0
US042348234	9700.0
US042372210	511.0
US042441294	
US042454372	1679.0
US042456637	32356.0
US042458042	49.0
US042473675	765.0
US042498617	374.0
US042564110	5880.0
US042594045	1722.0
US042619298	
US042623104	2567.0
US042648081	3800.0
US042680009	72000.0
US042693383	840.0
US042695240	25000.0
US042713778	1305.0
US042718215	1473.0
US042723701	23800.0
US042726691	317.0
US042729386	168.0
US042735766	
US042739697	1372.0
US042741391	629.0
US042742593	
US042742817	985.0
US042743260	589.0
US042746201	1766.0
US042776269	18660.0
US042787865	3333.0
US042795439	
US042797789	1345.0
US042825458	339.0
US042832409	
US042833935	176.0
US042837575	
US042866152	5982.0
US042870273	1500.0
US042882273	3383.0
US042896127	75371.0
US042902449	5290.0
US042911026	
US042916536	5000.0
US042921333	2500.0
US042949533	16260.0
US042959321	318.0
US042976299	890.0
US042977748	1522.0
US042985631	
US042997780	12900.0
US043039129	1950.0
US043040660	1426.0
US043072298	62.0
US043072771	459.0
US043099750	7834.0
US043106389	
US043110160	
US043125110	857.0
US043145961	107.0
US043158289	68.0
US043197974	660.0
US043205099	69.0
US043210530	426.0
US043218510	3500.0
US043219960	2800.0
US043221586	36.0
US043257395	115.0
US043262075	
US043263626	
US043284048	1429.0
US043291176	175.0
US043295311	375.0
US043306140	462.0
US043308180	48.0
US043308902	375.0
US043321804	19.0
US043324394	614.0
US043363001	6379.0
US043387074	1049.0
US043387530	4668.0
US043392453	39.0
US043398462	6000.0
US043398741	2300.0
US043402944	675.0
US043404176	474.0
US043416587	320.0
US043432319	6084.0
US043444218	3740.0
US043454702	3600.0
US043475813	17.0
US043477276	2500.0
US043483216	696.0
US043505116	44.0
US043508648	10.0
US043510455	1221.0
US043512838	1037.0
US043512883	9247.0
US043514457	73.0
US043516029	24800.0
US043522315	49.0
US043523891	647.0
US043536131	
US043559972	274.0
US043560178	452.0
US043561634	258.0
US043562325	7.0
US043565120	7500.0
US043567753	58.0
US043569304	16.0
US043578653	40.0
US043581650	19.0
US043625550	733.0
US043639825	1679.0
US043648721	16.0
US043692546	5400.0
US043705970	600.0
US043721895	72.0
US043744954	1200.0
US043799139	1577.0
US043803169	
US043807511	574.0
US043836208	1647.0
US043837082	1148.0
US043850065	
US046268599	5000.0
US046558834	66.0
US050155090	5000.0
US050314991	11400.0
US050315468	35000.0
US050318215	329.0
US050344399	138.0
US050376157	8700.0
US050404671	750.0
US050412693	17500.0
US050420589	567.0
US050489664	1898.0
US050494040	243000.0
US050502529	
US050527861	871.0
US050605598	1100.0
US060236700	342.0
US060247840	4735.0
US060330020	911.0
US060397030	16200.0
US060495050	
US060513860	2800.0
US060548860	51250.0
US060570975	197000.0
US060613548	5258.0
US060619596	19200.0
US060633559	2180.0
US060739839	266.0
US060842255	20.0
US060853042	596.0
US060853807	3700.0
US060854886	1550.0
US060865505	2100.0
US060868496	34.0
US060918165	37300.0
US060984624	7500.0
US061059331	
US061119097	35900.0
US061123096	100.0
US061153720	14200.0
US061185400	1147.0
US061185706	
US061187536	2946.0
US061195422	4355.0
US061196501	33000.0
US061209796	10057.0
US061218089	600.0
US061245881	35.0
US061249050	26657.0
US061269834	9600.0
US061275288	5000.0
US061308215	14000.0
US061313069	1223.0
US061340090	
US061364380	8800.0
US061376651	160.0
US061377322	3448.0
US061393453	125.0
US061393745	1725.0
US061397316	8600.0
US061398235	
US061437793	3101.0
US061456680	125.0
US061500476	2550.0
US061514263	169.0
US061515824	
US061522496	12700.0
US061528493	15500.0
US061529524	
US061559137	
US061562417	230.0
US061571143	3500.0
US061571747	470.0
US061591613	269.0
US061594540	1895.0
US061599088	
US061614015	
US061652172	7186.0
US061672840	4600.0
US061686563	38.0
US061713274	139.0
US061826563	1900.0
US087363354	334.0
US110853640	15.0
US111059070	29.0
US111362020	3400.0
US111385670	1278.0
US111719724	29.0
US111720520	270.0
US111734643	461.0
US111796714	35.0
US111797126	671.0
US111806155	18500.0
US111817252	
US111890605	18800.0
US111893410	6000.0
US111986657	430.0
US112014231	
US112103466	12.0
US112125338	29000.0
US112139466	978.0
US112148932	80.0
US112153962	2362.0
US112160665	
US112165495	2500.0
US112238111	69.0
US112250488	62000.0
US112277818	1013.0
US112408943	44000.0
US112464137	465.0
US112464169	
US112481903	137.0
US112520310	280.0
US112534306	24197.0
US112617163	3095.0
US112621692	192.0
US112622630	6.0
US112644611	
US112672906	302.0
US112682486	1454.0
US112708279	375.0
US112928178	564.0
US112934195	429.0
US112948749	190.0
US112962080	132.0
US112989601	783.0
US113024080	75.0
US113027591	
US113054851	5.0
US113117311	4524.0
US113131700	16100.0
US113136595	19000.0
US113146460	1300.0
US113166443	228.0
US113170868	1501.0
US113200514	5000.0
US113209278	375.0
US113234779	
US113262067	3300.0
US113289165	6751.0
US113297463	375.0
US113412575	32.0
US113415180	13556.0
US113474831	
US113500746	134.0
US113516358	20.0
US113547680	1752.0
US113588546	
US113656261	2316.0
US113664322	5686.0
US113715772	
US113742489	48.0
US113744289	402.0
US116040273	19000.0
US126484783L	175.0
US127387325L	75.0
US130544597	28300.0
US130612970	8400.0
US130871985	377757.0
US130872805	56000.0
US131024020	49200.0
US131026995	20400.0
US131086010	2125.0
US131102020	3560.0
US131166910	34200.0
US131380631	
US131432060	6700.0
US131514814	74900.0
US131584302	263000.0
US131673581	99900.0
US131815595	37900.0
US131840497	1200.0
US131860817	23700.0
US131872319	6200.0
US131920657	1250.0
US131950218L	1500.0
US131950672	
US131952290	11200.0
US131955943	2600.0
US131964841	2100.0
US132566064	1174.0
US132578432	875.0
US132592361	
US132595091	13290.0
US132595932	1100.0
US132607329	320.0
US132614959	62500.0
US132615557	17500.0
US132622036	
US132626465	47457.0
US132635899	
US132637623	
US132670991	7500.0
US132682108	
US132711135	73.0
US132721761	37800.0
US132739290	522.0
US132744380	546.0
US132755856	13.0
US132842791	3600.0
US132857434	11000.0
